,Rajiv Gandhi,Lal Bahadur Shastri,I.K. Gujral,Manmohan Singh,Indira Gandhi,Jawaharlal Nehru,P.V. Narasimha Rao,Narendra Modi,V.P. Singh,Chandra Shekhar,Atal Bihari Vajpayee,Morarji Desai,H.D. Deve Gowda
Rajiv Gandhi,0.0,0.05038748138443061,0.06267077843567137,0.035635552872875675,0.01557117587620005,0.026954458617672206,0.034536163038971335,0.027205286051208644,0.11521442511942204,0.05323793624332662,0.026042649792238137,0.0602264322847994,0.07112576966973971
Lal Bahadur Shastri,0.05038748138443061,0.0,0.09255537698920746,0.06346978102968992,0.045345750918085015,0.04709354942050281,0.05954945126820865,0.08489330622334168,0.10931999178784513,0.07191665591354068,0.04758152436235452,0.07786386067278861,0.10211061577642755
I.K. Gujral,0.06267077843567137,0.09255537698920746,0.0,0.10266285034292633,0.06131259111828957,0.060363355066047286,0.1062589345232714,0.0654120762212479,0.14022564264145387,0.08720190444285636,0.06565109374827904,0.09265804995168447,0.15052127884519162
Manmohan Singh,0.035635552872875675,0.06346978102968992,0.10266285034292633,0.0,0.04128604546641301,0.04809574312630549,0.04371076346583347,0.06349786647760991,0.10361206260978728,0.07553544703707948,0.049687953470095025,0.05625613669255236,0.09372400396917491
Indira Gandhi,0.01557117587620005,0.045345750918085015,0.06131259111828957,0.04128604546641301,0.0,0.013400938369200088,0.030076527627079463,0.028795729533614645,0.07902578278560024,0.04982819645515346,0.02325091040169114,0.0589139992058032,0.07367545025754296
Jawaharlal Nehru,0.026954458617672206,0.04709354942050281,0.060363355066047286,0.04809574312630549,0.013400938369200088,0.0,0.03588570986453943,0.05150541486057858,0.09432101006591909,0.056275170137648045,0.03171252124884172,0.0537431675457849,0.10723016507460958
P.V. Narasimha Rao,0.034536163038971335,0.05954945126820865,0.1062589345232714,0.04371076346583347,0.030076527627079463,0.03588570986453943,0.0,0.053673471763883596,0.08545206635202063,0.0887676804101869,0.04942881101548291,0.06476159699513029,0.088186110727836
Narendra Modi,0.027205286051208644,0.08489330622334168,0.0654120762212479,0.06349786647760991,0.028795729533614645,0.05150541486057858,0.053673471763883596,0.0,0.10745237933622553,0.0830454316184166,0.04854490303281944,0.08043440272624769,0.0667921152255947
V.P. Singh,0.11521442511942204,0.10931999178784513,0.14022564264145387,0.10361206260978728,0.07902578278560024,0.09432101006591909,0.08545206635202063,0.10745237933622553,0.0,0.13202027584096088,0.0906479182540495,0.09556327958277289,0.1169239311617557
Chandra Shekhar,0.05323793624332662,0.07191665591354068,0.08720190444285636,0.07553544703707948,0.04982819645515346,0.056275170137648045,0.0887676804101869,0.0830454316184166,0.13202027584096088,0.0,0.051862469277177636,0.08172570831931314,0.13176740124983588
Atal Bihari Vajpayee,0.026042649792238137,0.04758152436235452,0.06565109374827904,0.049687953470095025,0.02325091040169114,0.03171252124884172,0.04942881101548291,0.04854490303281944,0.0906479182540495,0.051862469277177636,0.0,0.053535111097083754,0.09066309091106406
Morarji Desai,0.0602264322847994,0.07786386067278861,0.09265804995168447,0.05625613669255236,0.0589139992058032,0.0537431675457849,0.06476159699513029,0.08043440272624769,0.09556327958277289,0.08172570831931314,0.053535111097083754,0.0,0.10124691357901427
H.D. Deve Gowda,0.07112576966973971,0.10211061577642755,0.15052127884519162,0.09372400396917491,0.07367545025754296,0.10723016507460958,0.088186110727836,0.0667921152255947,0.1169239311617557,0.13176740124983588,0.09066309091106406,0.10124691357901427,0.0
